 THU price [$] , Factory scale factor [-] , Shipping cost [$/mile] , Budget [$] , status , THU built , Factories build , Cost [$] 
" 4,000 ", 33 , 5 ," 150,000,000 ", 2 ," 28,894 ", 6 ," 150,000,000 "
" 4,000 ", 33 , 5 ," 200,000,000 ", 2 ," 38,176 ", 8 ," 200,000,000 "
" 4,000 ", 36 , 1 ," 50,000,000 ", 2 ," 9,998 ", 2 ," 50,000,000 "
" 4,000 ", 36 , 1 ," 100,000,000 ", 2 ," 19,772 ", 4 ," 100,000,000 "
" 4,000 ", 36 , 1 ," 150,000,000 ", 2 ," 29,403 ", 6 ," 150,000,000 "
" 4,000 ", 36 , 1 ," 200,000,000 ", 2 ," 38,790 ", 8 ," 200,000,000 "
" 4,000 ", 36 , 2 ," 50,000,000 ", 2 ," 9,930 ", 2 ," 50,000,000 "
" 4,000 ", 36 , 2 ," 100,000,000 ", 2 ," 19,567 ", 4 ," 100,000,000 "
" 4,000 ", 36 , 2 ," 150,000,000 ", 2 ," 29,057 ", 6 ," 150,000,000 "
" 4,000 ", 36 , 2 ," 200,000,000 ", 2 ," 38,387 ", 8 ," 200,000,000 "
" 4,000 ", 36 , 5 ," 50,000,000 ", 2 ," 9,734 ", 2 ," 50,000,000 "
" 4,000 ", 36 , 5 ," 100,000,000 ", 2 ," 19,121 ", 4 ," 100,000,000 "
" 4,000 ", 36 , 5 ," 150,000,000 ", 2 ," 28,291 ", 6 ," 150,000,000 "
" 4,000 ", 36 , 5 ," 200,000,000 ", 2 ," 37,358 ", 8 ," 200,000,000 "
" 4,000 ", 39 , 1 ," 50,000,000 ", 2 ," 9,797 ", 2 ," 50,000,000 "
" 4,000 ", 39 , 1 ," 100,000,000 ", 2 ," 19,374 ", 4 ," 100,000,000 "
" 4,000 ", 39 , 1 ," 150,000,000 ", 2 ," 28,781 ", 6 ," 150,000,000 "
" 4,000 ", 39 , 1 ," 200,000,000 ", 2 ," 37,922 ", 8 ," 200,000,000 "
" 4,000 ", 39 , 2 ," 50,000,000 ", 2 ," 9,731 ", 2 ," 50,000,000 "
" 4,000 ", 39 , 2 ," 100,000,000 ", 2 ," 19,165 ", 4 ," 100,000,000 "
" 4,000 ", 39 , 2 ," 150,000,000 ", 2 ," 28,454 ", 6 ," 150,000,000 "
" 4,000 ", 39 , 2 ," 200,000,000 ", 2 ," 37,545 ", 8 ," 200,000,000 "
" 4,000 ", 39 , 5 ," 50,000,000 ", 2 ," 9,542 ", 2 ," 50,000,000 "
" 4,000 ", 39 , 5 ," 100,000,000 ", 2 ," 18,736 ", 4 ," 100,000,000 "
