"CoC_Number","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035"
"CO-500",NA,NA,NA,NA,NA,NA,NA,24,41,41,40,41,33,30,34,35,34,34,33,32,30,28,26,23,19,13,3,-13,-50
"CO-503",NA,NA,NA,NA,NA,NA,NA,41,39,38,34,32,34,32,38,38,37,40,41,41,42,42,42,42,42,43,43,43,43
"CO-504",NA,NA,NA,NA,NA,NA,NA,36,33,37,37,35,35,36,43,38,37,39,40,41,42,43,44,46,47,49,52,55,59
"CT-503",NA,NA,NA,NA,NA,NA,NA,29,40,40,43,41,41,38,38,39,40,41,41,41,41,41,41,41,41,41,41,41,41
"CT-505",NA,NA,NA,NA,NA,NA,NA,32,36,37,38,42,36,38,38,40,39,41,41,41,41,41,42,42,42,42,42,42,42
"DC-500",NA,NA,NA,NA,NA,NA,NA,43,42,46,43,43,41,40,36,37,34,39,37,36,35,33,31,28,26,22,18,13,6
"DE-500",NA,NA,NA,NA,NA,NA,NA,43,42,38,43,45,40,40,48,48,44,43,44,44,44,45,45,45,45,45,46,46,46
"FL-500",NA,NA,NA,NA,NA,NA,NA,30,31,33,36,36,28,33,36,32,35,37,37,38,38,39,39,40,40,41,41,42,42
"FL-501",NA,NA,NA,NA,NA,NA,NA,39,38,38,40,39,38,35,43,35,35,35,35,34,34,33,33,33,32,32,31,31,30
"FL-502",NA,NA,NA,NA,NA,NA,NA,32,28,27,29,32,31,31,21,34,35,36,37,39,40,42,43,45,47,49,52,54,57
"FL-503",NA,NA,NA,NA,NA,NA,NA,31,35,40,38,39,38,35,42,39,47,41,42,42,43,43,43,44,44,44,44,44,45
"FL-504",NA,NA,NA,NA,NA,NA,NA,33,36,37,38,40,41,41,37,41,39,43,43,43,43,43,43,43,43,43,43,43,43
"FL-505",NA,NA,NA,NA,NA,NA,NA,5,31,37,51,43,38,36,56,38,36,39,38,38,37,36,35,35,34,33,32,31,30
"FL-506",NA,NA,NA,NA,NA,NA,NA,26,36,34,35,37,34,36,35,39,37,38,39,39,40,40,41,42,42,43,44,45,46
"FL-507",NA,NA,NA,NA,NA,NA,NA,47,37,39,38,36,38,38,42,40,36,35,35,35,35,35,35,35,35,35,34,34,34
"FL-508",NA,NA,NA,NA,NA,NA,NA,35,61,36,35,31,34,34,32,34,36,39,40,41,42,42,43,44,45,45,46,47,47
"FL-509",NA,NA,NA,NA,NA,NA,NA,32,46,47,48,42,46,42,35,38,40,44,44,44,44,44,46,45,45,44,44,44,44
"FL-510",NA,NA,NA,NA,NA,NA,NA,37,42,38,36,35,32,36,30,34,38,37,37,38,39,40,41,43,44,46,49,53,57
"FL-511",NA,NA,NA,NA,NA,NA,NA,43,27,31,29,30,27,31,22,25,29,25,25,25,25,25,25,24,24,24,24,24,24
"FL-512",NA,NA,NA,NA,NA,NA,NA,8,28,34,41,42,45,44,34,39,40,41,40,40,40,39,39,38,38,38,37,37,37
"FL-513",NA,NA,NA,NA,NA,NA,NA,18,39,37,32,31,32,31,35,28,39,35,35,36,36,37,37,37,38,38,38,39,39
"FL-514",NA,NA,NA,NA,NA,NA,NA,41,34,31,36,37,32,39,38,36,44,39,40,41,43,45,47,50,53,58,63,71,83
"FL-515",NA,NA,NA,NA,NA,NA,NA,35,36,41,42,43,36,32,72,37,37,32,31,31,30,30,29,29,28,28,27,27,26
"FL-517",NA,NA,NA,NA,NA,NA,NA,21,36,31,36,44,42,40,100,29,61,49,51,52,53,53,54,55,55,56,56,56,57
"FL-518",NA,NA,NA,NA,NA,NA,NA,43,27,28,33,32,43,40,55,40,40,39,40,40,40,41,41,42,42,43,43,44,44
"FL-519",NA,NA,NA,NA,NA,NA,NA,2,47,46,34,35,34,36,37,40,44,36,38,42,121,20,27,29,30,30,31,31,31
"FL-520",NA,NA,NA,NA,NA,NA,NA,40,43,39,40,45,39,46,42,43,42,40,40,39,39,39,38,38,38,37,37,37,36
"FL-600",NA,NA,NA,NA,NA,NA,NA,33,32,31,30,32,33,36,36,38,37,38,39,40,41,42,43,43,44,45,46,47,47
"FL-601",NA,NA,NA,NA,NA,NA,NA,34,33,33,32,31,31,32,13,32,34,35,35,36,37,38,38,39,40,41,41,42,43
"FL-602",NA,NA,NA,NA,NA,NA,NA,52,41,40,32,32,35,34,29,32,37,34,34,34,34,34,35,35,35,35,35,35,35
"FL-603",NA,NA,NA,NA,NA,NA,NA,34,34,42,40,47,43,42,38,39,34,41,40,39,38,38,37,37,36,36,35,35,34
"FL-604",NA,NA,NA,NA,NA,NA,NA,26,25,23,21,36,19,23,22,25,17,23,19,15,8,0,-14,-40,-98,-383,505,198,138
"FL-605",NA,NA,NA,NA,NA,NA,NA,11,29,33,34,33,33,32,49,33,34,33,33,33,33,33,33,33,33,33,33,33,33
"FL-606",NA,NA,NA,NA,NA,NA,NA,33,37,42,52,40,46,38,45,41,60,35,36,36,37,38,39,39,40,41,41,42,42
"GA-500",NA,NA,NA,NA,NA,NA,NA,20,24,19,26,29,26,26,26,23,28,26,25,25,25,24,24,23,23,22,22,21,20
"GA-501",NA,NA,NA,NA,NA,NA,NA,18,43,42,45,48,42,43,58,44,44,42,42,41,41,41,41,41,41,41,41,41,41
"GA-502",NA,NA,NA,NA,NA,NA,NA,55,45,47,42,50,48,55,67,53,47,45,44,43,42,41,40,39,38,37,36,34,33
"GA-503",NA,NA,NA,NA,NA,NA,NA,45,35,41,47,43,39,38,55,48,44,40,41,41,41,42,42,42,42,42,42,42,43
"GA-504",NA,NA,NA,NA,NA,NA,NA,22,38,41,70,42,33,29,29,28,43,27,28,28,28,28,28,29,29,29,29,29,29
"GA-505",NA,NA,NA,NA,NA,NA,NA,43,33,41,41,41,40,47,44,48,45,47,48,49,49,50,51,52,53,54,55,56,57
"GA-506",NA,NA,NA,NA,NA,NA,NA,35,47,48,42,46,40,45,46,46,47,39,39,39,38,38,38,38,38,38,38,37,37
"GA-507",NA,NA,NA,NA,NA,NA,NA,36,26,37,43,30,29,29,22,30,32,32,32,33,34,35,36,38,41,44,50,61,90
"GA-508",NA,NA,NA,NA,NA,NA,NA,41,40,45,43,48,39,48,68,49,48,40,41,41,41,41,41,41,42,42,42,42,42
"GU-500",NA,NA,NA,NA,NA,NA,NA,49,48,49,48,47,49,45,52,46,45,43,42,42,42,41,41,41,41,40,40,40,40
"HI-500",NA,NA,NA,NA,NA,NA,NA,40,39,41,42,42,42,43,54,42,41,47,47,47,47,47,47,47,47,47,47,47,47
"HI-501",NA,NA,NA,NA,NA,NA,NA,43,43,41,40,40,40,37,43,37,38,38,38,38,37,37,37,36,36,35,35,34,34
"IA-500",NA,NA,NA,NA,NA,NA,NA,42,48,51,40,39,42,31,38,30,36,30,29,28,27,25,24,23,22,21,20,19,17
"IA-501",NA,NA,NA,NA,NA,NA,NA,49,48,48,47,46,44,41,43,43,41,43,43,43,42,42,41,41,41,40,40,40,39
"IA-502",NA,NA,NA,NA,NA,NA,NA,41,39,37,34,32,30,30,31,29,34,35,35,36,36,37,37,38,38,39,40,40,41
"ID-500",NA,NA,NA,NA,NA,NA,NA,32,34,33,28,30,32,29,27,28,28,26,25,24,24,23,22,22,21,20,20,19,18
"ID-501",NA,NA,NA,NA,NA,NA,NA,48,48,49,48,47,43,51,25,50,50,50,50,51,51,52,52,53,53,53,54,54,54
"IL-500",NA,NA,NA,NA,NA,NA,NA,42,37,53,48,44,52,41,27,41,39,41,39,38,36,35,33,30,28,25,22,19,15
"IL-501",NA,NA,NA,NA,NA,NA,NA,43,55,43,48,46,46,46,48,47,49,49,49,50,50,51,51,51,52,52,52,53,53
"IL-502",NA,NA,NA,NA,NA,NA,NA,48,50,51,52,47,47,50,50,50,57,52,53,53,54,54,54,55,55,55,55,55,56
"IL-503",NA,NA,NA,NA,NA,NA,NA,26,26,42,51,38,40,42,41,39,37,43,43,43,43,43,43,43,43,43,43,43,43
"IL-504",NA,NA,NA,NA,NA,NA,NA,57,57,52,47,59,54,51,52,48,47,41,38,35,32,29,25,21,18,13,9,4,-1
"IL-506",NA,NA,NA,NA,NA,NA,NA,43,41,36,37,42,40,42,39,42,36,39,38,38,37,37,36,36,35,34,34,33,33
"IL-507",NA,NA,NA,NA,NA,NA,NA,44,40,39,40,46,41,36,42,39,47,45,46,46,46,46,47,47,47,47,47,47,48
"IL-508",NA,NA,NA,NA,NA,NA,NA,52,44,52,43,51,54,54,62,45,43,38,36,33,30,27,24,21,17,14,10,6,3
"IL-510",NA,NA,NA,NA,NA,NA,NA,50,35,37,38,37,39,38,40,32,31,38,38,38,38,38,37,37,37,37,37,37,37
"IL-511",NA,NA,NA,NA,NA,NA,NA,31,43,46,46,44,43,41,47,45,51,50,51,52,52,53,54,54,55,55,56,56,57
"IL-512",NA,NA,NA,NA,NA,NA,NA,42,51,50,52,50,42,47,43,41,47,53,54,54,55,56,57,57,58,59,60,61,62
"IL-513",NA,NA,NA,NA,NA,NA,NA,42,41,41,31,37,39,39,34,41,41,41,41,42,42,43,43,43,44,44,44,45,45
"IL-514",NA,NA,NA,NA,NA,NA,NA,50,54,55,47,48,48,49,47,51,47,51,51,51,51,51,51,51,51,51,51,51,52
"IL-515",NA,NA,NA,NA,NA,NA,NA,64,51,55,44,67,54,48,34,51,52,50,50,49,49,49,48,48,48,48,48,47,47
"IL-516",NA,NA,NA,NA,NA,NA,NA,52,41,30,22,39,41,41,28,28,35,34,33,31,29,26,24,20,17,12,6,-1,-10
"IL-517",NA,NA,NA,NA,NA,NA,NA,30,35,35,34,35,41,46,27,34,35,49,49,49,50,50,50,51,51,51,51,52,52
